药学楼7号楼,18,86
机械与动力工程学院B楼－东楼,8,21
媒体与设计实验室B楼,22,97
逸夫科技楼,4,3
徐汇小白楼,22,20
药学楼3号楼,18,63
西中院,10,23
留园,10,80
电信群楼3号楼,8,14
徐汇图书馆,8,53
徐汇新上院,18,485
媒体与设计实验室B楼,8,24
逸夫科技楼,10,112
徐汇中院,18,54
徐汇工程馆,8,844
农学生物学院-附楼一,16,32
凯旋门,4,2
电信群楼1号楼,16,54
分析测试中心2号楼,10,36
校医院南楼,18,20
药学楼7号楼,4,1
校医院北楼,8,3
分析测试中心1号楼,16,43
徐汇法学楼,18,204
陈瑞球楼,10,125
机械与动力工程学院C楼,22,79
校医院北楼,10,3
东中院二区,18,197
分析测试中心1号楼,18,57
徐汇法学楼,16,197
陈瑞球楼,8,131
木兰学院北楼,10,76
东中院二区,16,74
光彪楼,22,375
木兰学院北楼,8,40
学生宿舍D22,8,48
法华3号楼,8,5
学生宿舍W8,22,262
法华安泰综合楼,8,31
学生宿舍D1,8,33
凯旋门,16,29
能源材料,8,1
徐汇图书馆,16,110
学生宿舍W8,16,258
燃料电池研究所,8,5
凯原法学院,18,69
东门,8,18
陈瑞球北楼,22,89
徐汇小白楼,10,67
中意能源楼,16,6
法华安泰综合楼,22,22
第四食堂,8,144
第四食堂,22,262
新体育馆-近沧源路,8,105
凯原法学院,8,9
法华安泰综合楼,16,97
第四食堂,16,235
药学楼6号楼,10,33
徐汇浩然大厦,10,59
null,22,535
药学楼6号楼,8,14
棒球场,16,124
徐汇校医院,16,188
徐汇浩然大厦,8,120
棒球场,18,108
徐汇校医院,18,74
电信群楼3号楼,16,37
材料A楼,22,40
菁菁堂,10,165
西南体育馆-南体,16,263
农学生物学院-附楼二,22,30
学生宿舍D22,16,86
学生宿舍W45,10,67
徐汇新上院,10,771
第三食堂,22,167
药学楼5号楼,22,38
机械与动力工程学院A楼－主楼,22,64
法华南楼,18,86
药学楼1号楼,16,48
学生宿舍X37,8,67
学生宿舍D1,16,75
东中院三区,8,114
机械与动力工程学院B楼－北楼,4,1
校医院南楼,10,19
西南体育馆-南体,22,210
木兰学院南楼,4,5
东下院,22,364
